LED,ÐÐ,ÁÐ,X(mm),Y(mm)
1.1,1,1,6.336,-5.099
1.2,1,2,11.671,-5.099
1.3,1,3,17.007,-5.099
1.4,1,4,22.343,-5.099
1.5,1,5,27.678,-5.099
1.6,1,6,33.014,-5.099
1.7,1,7,38.349,-5.099
1.8,1,8,43.684,-5.099
1.9,1,9,49.02,-5.099
1.10 ,1,10,54.355,-5.099
2.1,2,1,6.336,-9.099
2.2,2,2,11.671,-9.099
2.3,2,3,17.007,-9.099
2.4,2,4,22.343,-9.099
2.5,2,5,27.678,-9.099
2.6,2,6,33.014,-9.099
2.7,2,7,38.349,-9.099
2.8,2,8,43.684,-9.099
2.9,2,9,49.02,-9.099
2.10 ,2,10,54.355,-9.099
3.1,3,1,6.336,-13.099
3.2,3,2,11.671,-13.099
3.3,3,3,17.007,-13.099
3.4,3,4,22.343,-13.099
3.5,3,5,27.678,-13.099
3.6,3,6,33.014,-13.099
3.7,3,7,38.349,-13.099
3.8,3,8,43.684,-13.099
3.9,3,9,49.02,-13.099
3.10 ,3,10,54.355,-13.099
4.1,4,1,6.336,-17.099
4.2,4,2,11.671,-17.099
4.3,4,3,17.007,-17.099
4.4,4,4,22.343,-17.099
4.5,4,5,27.678,-17.099
4.6,4,6,33.014,-17.099
4.7,4,7,38.349,-17.099
4.8,4,8,43.684,-17.099
4.9,4,9,49.02,-17.099
4.10 ,4,10,54.355,-17.099
5.1,5,1,6.336,-21.099
5.2,5,2,11.671,-21.099
5.3,5,3,17.007,-21.099
5.4,5,4,22.343,-21.099
5.5,5,5,27.678,-21.099
5.6,5,6,33.014,-21.099
5.7,5,7,38.349,-21.099
5.8,5,8,43.684,-21.099
5.9,5,9,49.02,-21.099
5.10 ,5,10,54.355,-21.099
6.1,6,1,6.336,-25.099
6.2,6,2,11.671,-25.099
6.3,6,3,17.007,-25.099
6.4,6,4,22.343,-25.099
6.5,6,5,27.678,-25.099
6.6,6,6,33.014,-25.099
6.7,6,7,38.349,-25.099
6.8,6,8,43.684,-25.099
6.9,6,9,49.02,-25.099
6.10 ,6,10,54.355,-25.099
7.1,7,1,6.336,-29.099
7.2,7,2,11.671,-29.099
7.3,7,3,17.007,-29.099
7.4,7,4,22.343,-29.099
7.5,7,5,27.678,-29.099
7.6,7,6,33.014,-29.099
7.7,7,7,38.349,-29.099
7.8,7,8,43.684,-29.099
7.9,7,9,49.02,-29.099
7.10 ,7,10,54.355,-29.099
8.1,8,1,6.336,-33.099
8.2,8,2,11.671,-33.099
8.3,8,3,17.007,-33.099
8.4,8,4,22.343,-33.099
8.5,8,5,27.678,-33.099
8.6,8,6,33.014,-33.099
8.7,8,7,38.349,-33.099
8.8,8,8,43.684,-33.099
8.9,8,9,49.02,-33.099
8.10 ,8,10,54.355,-33.099
9.1,9,1,6.336,-37.099
9.2,9,2,11.671,-37.099
9.3,9,3,17.007,-37.099
9.4,9,4,22.343,-37.099
9.5,9,5,27.678,-37.099
9.6,9,6,33.014,-37.099
9.7,9,7,38.349,-37.099
9.8,9,8,43.684,-37.099
9.9,9,9,49.02,-37.099
9.10 ,9,10,54.355,-37.099
10.1,10,1,6.336,-41.099
10.2,10,2,11.671,-41.099
10.3,10,3,17.007,-41.099
10.4,10,4,22.343,-41.099
10.5,10,5,27.678,-41.099
10.6,10,6,33.014,-41.099
10.7,10,7,38.349,-41.099
10.8,10,8,43.684,-41.099
10.9,10,9,49.02,-41.099
10.10 ,10,10,54.355,-41.099
